Makary Lawniczak
Albert Polakowski
Arkady Gubala
Narcyz Wiech
Zenon Toczek
Anioł Zaucha
Lubomir Orlikowski
Mateusz Pabian
Onufry Szafran
Fabian Rusak
Patryk Skwarek
Wielisław Szydlo
Apoloniusz Niestroj
Lechosław Banach
Bolesław Kapala
Apoloniusz Czaplicki
Urban Rybacki
Waldemar Sladek
Justyn Bielschowsky
Anatol Klepacki
Zachariasz Prusinski
Horacy Szydlowski
Melchior Perzan
Leo Tomasko
Bonifacy Wachal
Iwan Piasecki
Bogumir Banach
Grzegorz Moczygemba
Witold Kendziorski
Hubert Tara
Konstantyn Wasik
Kornel Cieply
Maurycy Bielawski
Korneli Lysek
Bartosz Blechacz
Wiktor Gura
Ziemowit Radecki
Sławomierz Pientka
Włodzimierz Kubicki
Olaf Gursky
Krzesisław Drozdowski
Antoni Wiech
Hubert Kopecki
Ferdynand Dulski
Urban Pokrywka
Igor Luczak
Bogdan Plonski
Krystian Winnicki
Romuald Szczygiel
Artur Nowak
Iwona Bona
Olga Rudzik
Dominika Doktor
Teresa Dylewska
Donata Adamczyk
Klementyna Strojny
Czesława Lechowicz
Amelia Radzinska
Aleksanda Markoska
Józefina Osada
Faustyna Czarnik
Marietta Cichon
Aneta Golon
Dorota Balicka
Anita Kukulska
Wisława Glod
Irena Hornik
Kaja Dobkowska
Agnieszka Witucka
Józefa Galkowska
Judyta Burdon
Beata Tobola
Józefina Strzalkowska
Violetta Dzieciol
Zyta Potocka
Arleta Mileska
Walentyna Maslanka
Zyta Piorkowska
Alina Skorupska
Arleta Liszewska
Lucyna Rosinska
Józefina Osada
Maja Gawlak
Lilia Sapien
Sara Brozek
Wanessa Podlaska
Józefina Sienicka
Natalia Knapik
Kornelia Paradowska
Daniela Mikolajewska
Alina Skorupska
Gabriela Winnicka
Jolanta Brodzka
Malina Machuga
Irena Klebba
Iwa Cegielska
Żaneta Roszkowska
Agata Smolka
Maryna Koloska
Bożena Babula
